,"Existence of national screening program for breast cancer","Existence of national screening program for breast cancer","Existence of national screening program for breast cancer"
"Grenada","No","No","Yes"
"Guatemala","Yes","Yes","Yes"
"Guinea","Yes","Yes","Yes"
"Guinea-Bissau","No","No","No data received"
"Guyana","No","Yes","No"
"Haiti","Yes","Yes","No"
"Honduras","No","No","Yes"
"Hungary","Yes","Yes","Yes"
"Iceland","Yes","Yes","Yes"
"India","Yes","Yes","Yes"
"Indonesia","Yes","Yes","Yes"
"Iran (Islamic Republic of)","Yes","Yes","Yes"
"Iraq","Yes","Yes","Yes"
"Ireland","Yes","Yes","Yes"
"Israel","Yes","Yes","Yes"
"Italy","Yes","Yes","Yes"
"Jamaica","No","Yes","Yes"
"Japan","Yes","Yes","Yes"
"Jordan","Yes","Yes","Yes"
"Kazakhstan","Yes","Yes","Yes"
"Kenya","Yes","Yes","No"
"Kiribati","Yes","No","No response"
"Kuwait","Yes","Yes","Yes"
"Kyrgyzstan","Yes","Yes","Yes"
"Lao People's Democratic Republic","Yes","No","No"
"Latvia","Yes","Yes","Yes"
"Lebanon","Yes","Yes","Yes"
"Lesotho","No","No","Yes"
"Liberia","No","No","No data received"
"Libya","No","No","No"
"Lithuania","Yes","Yes","Yes"
"Luxembourg","Yes","Yes","No data received"
"Madagascar","No","Yes","No"
"Malawi","No","No","Yes"
"Malaysia","Yes","Yes","Yes"
"Maldives","Yes","Yes","No"
"Mali","No","Yes","Yes"
"Malta","Yes","Yes","Yes"
"Marshall Islands","Yes","No","Yes"
"Mauritania","No","Yes","No"
"Mauritius","No","Yes","No data received"
"Mexico","Yes","Yes","Yes"
"Micronesia (Federated States of)","Yes","Yes","Yes"
"Monaco","Yes","Yes","Yes"
"Mongolia","Yes","Yes","Yes"
"Montenegro","Yes","Yes","Yes"
"Morocco","Yes","Yes","Yes"
"Mozambique","Yes","Yes","Yes"
"Myanmar","Yes","Yes","No"
"Namibia","No","No","No data received"
"Nauru","No","No","Yes"
"Nepal","No","No","No"
"Netherlands","Yes","Yes","Yes"
"New Zealand","Yes","Yes","Yes"
"Nicaragua","Yes","No","Yes"
"Niger","No","No","No"
"Nigeria","No","Yes","Yes"
"Niue","No","No","No"
"Norway","Yes","Yes","Yes"
"Oman","Yes","Yes","Yes"
"Pakistan","No","Yes","No"
"Palau","Yes","Yes","Yes"
"Panama","Yes","Yes","Yes"
"Papua New Guinea","No","No","Yes"
"Paraguay","No","Yes","Yes"
"Peru","Yes","Yes","Yes"
"Philippines","Yes","No","Yes"
"Poland","Yes","Yes","Yes"
"Portugal","Yes","Yes","Yes"
"Qatar","Yes","Yes","Yes"
"Republic of Korea","Yes","Yes","Yes"
"Republic of Moldova","Yes","Yes","Yes"
"Republic of North Macedonia","Yes","Yes","Yes"
"Romania","Yes","Yes","No"
"Russian Federation","Yes","Yes","Yes"
"Rwanda","No","Yes","Yes"
"Saint Kitts and Nevis","No","Yes","No"
"Saint Lucia","No","Yes","Yes"
"Saint Vincent and the Grenadines","No","No","Yes"
"Samoa","No","No","No data received"
"San Marino","Yes","Yes","Yes"
"Sao Tome and Principe","No","No","No"
"Saudi Arabia","Yes","Yes","Yes"
"Senegal","Yes","No","No"
"Serbia","Yes","Yes","Yes"
"Seychelles","No","Yes","Yes"
"Sierra Leone","No","No","No"
"Singapore","Yes","Yes","Yes"
"Slovakia","Yes","Yes","Yes"
"Slovenia","Yes","Yes","Yes"
"Solomon Islands","No","No","No"
"Somalia","Yes","No","No"
"South Africa","Yes","Yes","Yes"
"South Sudan","No","No","No data received"
"Spain","Yes","Yes","Yes"
"Sri Lanka","Yes","Yes","Yes"
"Sudan","No","No","No"
"Suriname","No","No","No"
"Sweden","Yes","Yes","Yes"
"Switzerland","Yes","Yes","Yes"
"Syrian Arab Republic","Yes","Yes","Yes"
"Tajikistan","No","Yes","Yes"
"Thailand","Yes","Yes","Yes"
"Timor-Leste","Yes","Yes","Yes"
"Togo","No","No","Yes"
"Tonga","Yes","No","Yes"
"Trinidad and Tobago","Don't know","Yes","No"
"Tunisia","Yes","Yes","No response"
"Turkey","Yes","Yes","Yes"
"Turkmenistan","Yes","Yes","Yes"
"Tuvalu","No","No","No"
"Uganda","No","Yes","Yes"
"Ukraine","Yes","Yes","Yes"
"United Arab Emirates","Yes","Yes","Yes"
"United Kingdom of Great Britain and Northern Ireland","Yes","Yes","Yes"
"United Republic of Tanzania","No","No","No data received"
"United States of America","Yes","Yes","Yes"
"Uruguay","Yes","Yes","Yes"
"Uzbekistan","No","Yes","Yes"
"Vanuatu","Yes","No","No"
"Venezuela (Bolivarian Republic of)","Yes","Yes","No data received"
"Viet Nam","Yes","Yes","Yes"
"Yemen","No","No","Yes"
"Zambia","No","Yes","Yes"
"Zimbabwe","No","No","Yes"
